,count,unique,top,freq,mean,std,min,25%,50%,75%,max
case,5133.0,,,,2567.52347555036,1482.345917858309,1.0,1284.0,2568.0,3851.0,5134.0
Mscale,5133.0,,,,1.059879212935905,0.3806458404705034,0.61,0.61,1.0,1.28,3.2199999999999998
OECDSc,5133.0,,,,1.5974673680109097,0.5140669448702978,1.0,1.0,1.5,2.0,4.5
A016,5133.0,,,,0.029222676797194622,0.17524984863529153,0.0,0.0,0.0,0.0,2.0
A017,5133.0,,,,0.02863822326125073,0.17027222551970822,0.0,0.0,0.0,0.0,2.0
A018,5133.0,,,,0.05786090005844535,0.2464934569012611,0.0,0.0,0.0,0.0,2.0
A020,5133.0,,,,0.030586401714397037,0.17333886754819128,0.0,0.0,0.0,0.0,2.0
A021,5133.0,,,,0.05084745762711865,0.23430001117709198,0.0,0.0,0.0,0.0,2.0
A022,5133.0,,,,0.1858562244301578,0.4964199898197097,0.0,0.0,0.0,0.0,4.0
A023,5133.0,,,,0.34424313267095263,0.5468542477760221,0.0,0.0,0.0,1.0,5.0
A024,5133.0,,,,0.23806740697447887,0.4300396102487871,0.0,0.0,0.0,0.0,2.0
A025,5133.0,,,,0.07032924215858173,0.25572598640138233,0.0,0.0,0.0,0.0,1.0
A026,5133.0,,,,0.07929086304305474,0.2702185176844535,0.0,0.0,0.0,0.0,1.0
A027,5133.0,,,,0.14143775569842199,0.3490651665846697,0.0,0.0,0.0,0.0,2.0
A030,5133.0,,,,0.030976037405026302,0.1788041651428967,0.0,0.0,0.0,0.0,2.0
A031,5133.0,,,,0.04266510812390415,0.21337594728402082,0.0,0.0,0.0,0.0,3.0
A032,5133.0,,,,0.17923241768946035,0.5000206885286422,0.0,0.0,0.0,0.0,4.0
A033,5133.0,,,,0.389440872783947,0.5598455720613339,0.0,0.0,0.0,1.0,6.0
A034,5133.0,,,,0.25073056691992984,0.4366111972489368,0.0,0.0,0.0,0.0,2.0
A035,5133.0,,,,0.08435612702123514,0.27794823538029495,0.0,0.0,0.0,0.0,1.0
